ds,y
2023-10-27,12.3125
2023-10-28,14.825
2023-10-29,15.7375
2023-10-30,12.3125
2023-10-31,12.3
2023-11-01,11.875
2023-11-02,10.375
2023-11-03,7.0125
2023-11-04,9.8875
2023-11-05,10.6
2023-11-06,9.5875
2023-11-07,8.85
2023-11-08,9.9125
2023-11-09,10.5
2023-11-10,9.8875
2023-11-11,9.35
2023-11-12,13.65
2023-11-13,15.45
2023-11-14,15.875
2023-11-15,11.1375
2023-11-16,11.9
2023-11-17,10.6
2023-11-18,10.425
2023-11-19,11.1625
2023-11-20,12.0625
2023-11-21,9.7875
2023-11-22,8.675
2023-11-23,4.7625
2023-11-24,7.4125
2023-11-25,3.9125
2023-11-26,0.7375
2023-11-27,4.4625
2023-11-28,7.6375
2023-11-29,2.8625
2023-11-30,9.5125
2023-12-01,6.5375
2023-12-02,1.7125
2023-12-03,0.6375
2023-12-04,7.7625
2023-12-05,5.6375
2023-12-06,2.675
2023-12-08,8.1
2023-12-09,8.9375
2023-12-10,10.2875
2023-12-11,13.4375
2023-12-12,11.5375
2023-12-13,9.275
2023-12-14,6.375
2023-12-15,6.7625
2023-12-16,4.2625
2023-12-17,2.3125
2023-12-18,3.025
2023-12-19,1.05
2023-12-20,6.1125
2023-12-21,9.1
2023-12-22,9.425
2023-12-23,8.7625
2023-12-24,8.775
2023-12-25,6.475
2023-12-26,0.8875
2023-12-27,3.825
2023-12-28,9.175
2023-12-29,9.75
2023-12-30,9.7375
2023-12-31,7.3375
2024-01-01,7.2625
2024-01-02,9.9625
2024-01-03,11.2625
2024-01-04,9.6375
2024-01-05,7.575
2024-01-06,5.05
2024-01-07,3.3625
2024-01-08,1.575
2024-01-09,-0.3625
2024-01-10,-0.675
2024-01-11,1.675
2024-01-12,1.9875
2024-01-13,-0.175
2024-01-14,3.225
2024-01-15,6.1375
2024-01-16,9.6625
2024-01-17,11.9
2024-01-18,8.925
2024-01-19,0.0875
2024-01-20,-1.5
2024-01-21,5.4875
2024-01-22,7.0375
2024-01-23,10.45
2024-01-24,11.525
2024-01-25,10.45
2024-01-26,7.075
2024-01-27,8.875
2024-01-28,11.3875
2024-01-29,11.875
2024-01-30,11.175
2024-01-31,8.6375
2024-02-01,6.9
2024-02-02,9.5625
2024-02-03,4.2625
2024-02-04,3.2375
2024-02-06,4.675
2024-02-07,9.425
2024-02-08,12.2125
2024-02-09,12.5125
2024-02-10,8.575
2024-02-11,7.3875
2024-02-12,6.25
2024-02-13,7.5375
2024-02-14,11.8875
2024-02-15,14.125
2024-02-16,11.4125
2024-02-17,8.625
2024-02-18,7.1875
2024-02-19,9.925
2024-02-20,8.75
2024-02-21,8.6625
2024-02-22,11.6125
2024-02-23,4.7375
2024-02-24,4.9625
2024-02-25,6.8625
2024-02-26,8.4625
2024-02-27,6.6375
2024-02-28,7.2375
2024-02-29,6.6625
2024-03-01,7.7375
2024-03-02,8.875
2024-03-03,6.125
2024-03-04,5.125
2024-03-05,6.2
2024-03-06,6.3875
2024-03-07,8.55
2024-03-08,9.5625
2024-03-09,8.9625
2024-03-10,8.4125
2024-03-11,7.95
2024-03-12,9.6375
2024-03-13,11.2625
2024-03-14,14.25
2024-03-15,13.0
2024-03-16,13.025
2024-03-17,15.275
2024-03-19,13.1875
2024-03-20,16.175
2024-03-21,14.775
2024-03-22,16.1125
2024-03-23,11.1
2024-03-24,8.55
2024-03-25,9.0125
2024-03-26,7.575
2024-03-27,8.225
2024-03-28,10.5
2024-03-29,11.025
2024-03-30,10.9
2024-03-31,11.375
2024-04-01,9.4
2024-04-02,11.8
2024-04-03,13.3625
2024-04-04,16.175
2024-04-05,18.4375
2024-04-06,18.525
2024-04-07,16.65
2024-04-08,15.675
2024-04-09,9.5125
2024-04-10,9.7125
2024-04-11,12.3375
2024-04-12,15.9875
2024-04-13,18.6375
2024-04-14,20.1125
2024-04-15,14.0375
2024-04-16,10.1125
2024-04-17,9.625
2024-04-18,8.5625
2024-04-19,9.075
2024-04-20,9.4875
2024-04-21,7.4
2024-04-22,6.6125
2024-04-23,5.2125
2024-04-24,6.0
2024-04-25,8.825
2024-04-26,11.05
2024-04-27,12.5625
2024-04-28,12.4875
2024-04-29,10.675
2024-04-30,12.7375
2024-05-01,10.2625
2024-05-02,9.25
2024-05-03,10.0875
2024-05-04,13.0
2024-05-05,15.975
2024-05-06,12.925
2024-05-07,11.5125
2024-05-08,13.8625
2024-05-09,16.15
2024-05-10,20.0625
2024-05-11,21.1625
2024-05-12,15.7625
2024-05-13,18.625
2024-05-14,12.375
2024-05-15,12.0125
2024-05-16,11.6125
2024-05-17,12.55
2024-05-18,14.275
2024-05-19,13.975
2024-05-20,14.125
2024-05-21,13.7375
2024-05-22,14.2
2024-05-23,13.4
2024-05-24,13.975
2024-05-25,15.5375
2024-05-26,16.275
2024-05-27,14.7375
2024-05-28,14.6125
2024-05-29,14.9625
2024-05-30,15.6125
2024-05-31,14.2375
2024-06-01,14.675
2024-06-02,15.4875
2024-06-03,16.55
2024-06-04,17.8375
2024-06-05,19.7125
2024-06-06,20.7875
2024-06-07,19.3625
2024-06-08,23.2375
2024-06-09,17.7
2024-06-10,16.1875
2024-06-11,15.1375
2024-06-12,14.4875
2024-06-13,15.7625
2024-06-14,18.2375
2024-06-15,15.5125
2024-06-16,17.3625
2024-06-17,21.4
2024-06-18,22.1
2024-06-19,20.8875
2024-06-20,16.6625
2024-06-21,17.95
2024-06-22,14.75
2024-06-23,16.7375
2024-06-24,19.1125
2024-06-25,23.15
2024-06-26,25.2125
2024-06-27,24.1
2024-06-28,25.575
2024-06-29,20.4625
2024-06-30,17.9125
2024-07-01,18.5
2024-07-02,16.4625
2024-07-03,17.9625
2024-07-04,19.0625
2024-07-05,20.7625
2024-07-06,17.725
2024-07-07,15.4875
2024-07-08,21.1625
2024-07-09,24.8875
2024-07-10,21.5375
2024-07-11,22.0625
2024-07-12,19.3625
2024-07-13,16.1125
2024-07-14,19.1625
2024-07-15,21.9
2024-07-16,20.1125
2024-07-17,20.05
2024-07-18,24.3375
2024-07-19,24.6625
2024-07-20,25.2625
2024-07-21,18.9125
2024-07-22,18.225
2024-07-23,21.125
2024-07-24,22.0
2024-07-25,21.0875
2024-07-26,22.775
2024-07-27,24.5375
2024-07-28,26.6875
2024-07-29,29.9625
2024-07-30,29.0375
2024-07-31,29.0
2024-08-01,24.2875
2024-08-02,23.6
2024-08-03,20.25
2024-08-04,20.1625
2024-08-05,22.625
2024-08-06,23.2625
2024-08-07,22.825
2024-08-08,22.025
2024-08-09,22.4625
2024-08-10,24.4375
2024-08-11,29.4375
2024-08-12,25.1
2024-08-13,22.2125
2024-08-14,19.5625
2024-08-15,19.95
2024-08-16,22.275
2024-08-17,19.9125
2024-08-18,18.2
2024-08-19,17.2875
2024-08-20,19.075
2024-08-21,19.7125
2024-08-22,19.9
2024-08-23,20.1125
2024-08-24,23.45
2024-08-25,18.5375
2024-08-26,17.3875
2024-08-27,21.8375
2024-08-28,25.375
2024-08-29,23.3
2024-08-30,24.1375
2024-08-31,24.5125
2024-09-01,20.1
2024-09-02,20.4625
2024-09-03,18.275
2024-09-04,16.8625
2024-09-05,15.9375
2024-09-06,16.2625
2024-09-07,16.7
2024-09-08,14.075
2024-09-09,16.6875
2024-09-10,16.4125
2024-09-11,13.775
2024-09-12,12.275
2024-09-13,11.7875
2024-09-14,11.65
2024-09-15,12.25
2024-09-16,14.3625
2024-09-17,15.7875
2024-09-18,16.875
2024-09-19,17.65
2024-09-20,18.375
2024-09-21,19.1125
2024-09-22,16.95
2024-09-23,15.1125
2024-09-24,15.0125
2024-09-25,16.55
2024-09-26,16.6
2024-09-27,14.275
2024-09-28,11.35
2024-09-29,11.975
2024-09-30,16.375
2024-10-01,17.5875
2024-10-02,13.3375
2024-10-03,11.0875
2024-10-04,10.2875
2024-10-05,11.2125
2024-10-06,16.7125
2024-10-07,17.3625
2024-10-08,16.425
2024-10-09,17.775
2024-10-10,13.8125
2024-10-11,12.65
2024-10-12,16.05
2024-10-13,18.4125
2024-10-14,19.7875
2024-10-15,20.5875
2024-10-16,20.2625
2024-10-17,14.8
2024-10-18,11.3875
2024-10-19,12.125
2024-10-20,16.5
2024-10-21,17.6125
2024-10-22,15.3
2024-10-23,12.3
2024-10-24,16.4625
2024-10-25,15.725
2024-10-26,12.375
2024-10-27,13.1125
2024-10-28,13.1875
2024-10-29,15.225
2024-10-30,16.6625
2024-10-31,17.9
2024-11-01,16.1125
2024-11-02,14.0875
2024-11-03,15.65
2024-11-04,15.475
2024-11-05,15.4875
2024-11-06,14.825
2024-11-22,3.05
2024-11-23,6.65
2024-11-24,14.925
2024-11-25,14.7375
2024-11-26,9.9
2024-11-27,8.425
2024-11-28,8.8
2024-11-29,9.85
2024-11-30,9.525
2024-12-01,10.7875
2024-12-02,9.1875
2024-12-03,7.075
2024-12-04,3.4125
2024-12-05,4.4375
2024-12-06,10.75
2024-12-07,7.8625
2024-12-08,5.775
2024-12-09,5.6
2024-12-11,4.85
2024-12-12,5.2625
2024-12-13,6.3
2024-12-14,5.5125
2024-12-15,4.6
2024-12-16,3.1
2024-12-17,6.35
2024-12-18,10.05
2024-12-19,8.925
2024-12-20,3.8125
2024-12-21,7.6125
2024-12-22,9.0625
2024-12-23,4.7
2024-12-24,5.2375
2024-12-25,6.4875
2024-12-26,4.4375
2024-12-27,2.4625
2024-12-28,3.4625
2024-12-29,0.05
2024-12-30,-0.9625
2024-12-31,-0.975
2025-01-01,1.8125
2025-01-02,6.1625
2025-01-03,5.3625
2025-01-04,8.5875
2025-01-05,10.4875
2025-01-06,9.75
2025-01-07,6.925
2025-01-08,11.65
2025-01-09,9.675
2025-01-10,9.3
2025-01-11,6.925
2025-01-12,0.025
2025-01-13,-1.45
2025-01-14,-1.9
2025-01-15,-1.3375
2025-01-16,1.2625
2025-01-17,2.9
2025-01-18,-0.1375
2025-01-19,1.275
2025-01-20,7.625
2025-01-21,8.2875
2025-01-22,11.725
2025-01-23,8.1375
2025-01-24,9.1125
2025-01-25,10.2875
2025-01-26,7.5875
2025-01-27,9.6875
2025-01-28,6.8125
2025-01-29,7.9
2025-01-30,8.3875
2025-01-31,5.2875
2025-02-01,4.0125
2025-02-02,3.475
2025-02-03,4.65
2025-02-04,4.3625
2025-02-05,5.1125
2025-02-06,4.85
2025-02-08,3.8375
2025-02-09,4.3125
2025-02-10,9.35
2025-02-11,10.625
2025-02-12,9.775
2025-02-13,9.55
2025-02-14,9.225
2025-02-15,5.2875
2025-02-16,8.675
2025-02-17,9.0875
2025-02-18,9.2125
2025-02-19,12.0
2025-02-21,10.95
2025-02-22,10.6625
2025-02-23,8.8875
2025-02-24,10.925
2025-02-25,9.125
2025-02-26,6.2625
2025-02-27,7.15
2025-02-28,6.75
2025-03-01,4.1125
2025-03-02,7.5125
2025-03-03,10.2
2025-03-04,12.3875
2025-03-05,12.4
2025-03-06,12.6875
2025-03-07,12.5
2025-03-08,13.1375
2025-03-28,10.0875
2025-03-29,8.3125
2025-03-30,8.9875
2025-03-31,13.4125
2025-04-01,12.975
2025-04-02,10.35
2025-04-03,14.2375
2025-04-04,15.2875
2025-04-05,16.025
2025-04-06,16.0875
2025-04-07,13.275
2025-04-08,14.6375
2025-04-09,13.8375
2025-04-10,16.6625
2025-04-11,17.8125
